TestName,ModelSize,AnalysisInitialization,SequenceFinding,Propagation,Total
CharacteristicsPropagationTest,1000,102,192,268,617
CharacteristicsPropagationTest,1000,96,175,241,657
CharacteristicsPropagationTest,1000,95,173,257,629
CharacteristicsPropagationTest,1000,96,190,259,595
CharacteristicsPropagationTest,1000,96,188,261,623
CharacteristicsPropagationTest,1000,95,202,262,611
CharacteristicsPropagationTest,1000,97,229,309,666
CharacteristicsPropagationTest,1000,94,204,269,619
CharacteristicsPropagationTest,1000,95,213,279,631
NodeCharacteristicsTest,1000,152,246,246,247
NodeCharacteristicsTest,1000,160,257,257,257
NodeCharacteristicsTest,1000,144,243,243,244
NodeCharacteristicsTest,1000,153,259,259,260
NodeCharacteristicsTest,1000,161,297,297,298
NodeCharacteristicsTest,1000,132,237,238,238
NodeCharacteristicsTest,1000,132,225,225,226
NodeCharacteristicsTest,1000,129,222,222,222
NodeCharacteristicsTest,1000,135,229,229,229
NodeCharacteristicsTest,1000,129,221,221,222
SEFFParameterTest,1000,79,191,191,216
SEFFParameterTest,1000,65,181,181,215
SEFFParameterTest,1000,64,173,173,201
SEFFParameterTest,1000,66,183,183,207
SEFFParameterTest,1000,67,185,185,209
SEFFParameterTest,1000,66,183,183,208
SEFFParameterTest,1000,63,187,187,212
SEFFParameterTest,1000,63,205,205,231
SEFFParameterTest,1000,68,192,192,216
SEFFParameterTest,1000,66,198,198,225
VariableCountTest,1000,64,192,192,218
VariableCountTest,1000,64,194,194,219
VariableCountTest,1000,65,201,201,229
VariableCountTest,1000,71,209,209,233
VariableCountTest,1000,64,202,202,227
VariableCountTest,1000,67,208,209,233
VariableCountTest,1000,63,204,204,228
VariableCountTest,1000,63,221,221,247
VariableCountTest,1000,73,221,221,247
VariableCountTest,1000,69,217,217,242
VariableActionsTest,1000,47,186,193,399
VariableActionsTest,1000,58,203,209,413
VariableActionsTest,1000,48,207,215,421
VariableActionsTest,1000,48,200,206,399
VariableActionsTest,1000,51,197,203,405
VariableActionsTest,1000,47,190,196,392
VariableActionsTest,1000,47,195,207,403
VariableActionsTest,1000,47,190,196,391
VariableActionsTest,1000,53,198,204,401
VariableActionsTest,1000,48,204,210,417
