index,median,box_top,box_bottom,whisker_top,whisker_bottom
1,291,311,239,357,216
10,235,271,228,358,202
100,199,226,176,242,166
1000,418,460,398,526,389
10000,13217,13297,13096,13462,12657
100000,1754583,1766782,1704858,2051334,1667165
