TestName,ModelSize,AnalysisInitialization,SequenceFinding,Propagation,Total
CharacteristicsPropagationTest,1,0,0,104,177
CharacteristicsPropagationTest,1,0,0,97,173
CharacteristicsPropagationTest,1,0,0,97,166
CharacteristicsPropagationTest,1,0,1,120,195
CharacteristicsPropagationTest,1,0,0,114,185
CharacteristicsPropagationTest,1,0,0,140,210
CharacteristicsPropagationTest,1,0,0,88,164
CharacteristicsPropagationTest,1,0,0,131,199
CharacteristicsPropagationTest,1,0,0,169,260
CharacteristicsPropagationTest,1,0,0,95,161
CharacteristicsPropagationTest,10,0,0,134,248
CharacteristicsPropagationTest,10,0,0,126,222
CharacteristicsPropagationTest,10,0,0,119,238
CharacteristicsPropagationTest,10,0,0,126,218
CharacteristicsPropagationTest,10,1,1,113,206
CharacteristicsPropagationTest,10,0,0,116,211
CharacteristicsPropagationTest,10,0,0,122,259
CharacteristicsPropagationTest,10,0,0,97,205
CharacteristicsPropagationTest,10,0,0,95,272
CharacteristicsPropagationTest,10,0,0,107,203
CharacteristicsPropagationTest,100,0,1,614,881
CharacteristicsPropagationTest,100,0,0,523,805
CharacteristicsPropagationTest,100,0,0,462,730
CharacteristicsPropagationTest,100,0,0,415,678
CharacteristicsPropagationTest,100,0,0,355,602
CharacteristicsPropagationTest,100,0,1,388,635
CharacteristicsPropagationTest,100,0,1,340,582
CharacteristicsPropagationTest,100,0,1,467,796
CharacteristicsPropagationTest,100,0,1,411,620
CharacteristicsPropagationTest,100,0,0,441,743
