index,median,box_top,box_bottom,whisker_top,whisker_bottom
1,350,369,262,578,237
10,217,239,193,283,177
100,285,310,217,389,194
1000,480,593,445,618,411
10000,10035,10143,8920,10216,8304
100000,2421699,2475818,2258073,2597213,2158417
