TestName,ModelSize,AnalysisInitialization,SequenceFinding,Propagation,Total
SEFFParameterTest,1,92,92,130,171
SEFFParameterTest,1,85,85,114,139
SEFFParameterTest,1,65,65,89,114
SEFFParameterTest,1,51,51,74,99
SEFFParameterTest,1,54,54,78,103
SEFFParameterTest,1,94,94,128,153
SEFFParameterTest,1,74,74,108,134
SEFFParameterTest,1,76,76,107,134
SEFFParameterTest,1,60,60,80,105
SEFFParameterTest,1,54,54,135,172
SEFFParameterTest,10,61,61,122,161
SEFFParameterTest,10,75,75,164,206
SEFFParameterTest,10,68,68,123,158
SEFFParameterTest,10,46,46,157,200
