index,median,box_top,box_bottom,whisker_top,whisker_bottom
1,84,99,75,185,72
10,64,70,50,74,48
100,61,71,52,105,50
1000,58,62,51,66,48
10000,93,96,77,103,65
100000,373,509,260,588,195
